"timestamp","snapshotDate","pkg","bytes"
2018-02-23 12:32:32,"2018-02-23","gtools","134124"
2018-02-23 12:32:32,"2018-02-23","gdata","1141723"
2018-02-23 12:32:32,"2018-02-23","combinat","27628"
2018-02-23 12:32:32,"2018-02-23","sp","1535064"
2018-02-23 12:32:32,"2018-02-23","spData","4037441"
2018-02-23 12:32:32,"2018-02-23","LearnBayes","1124704"
2018-02-23 12:32:32,"2018-02-23","deldir","222916"
2018-02-23 12:32:32,"2018-02-23","coda","203958"
2018-02-23 12:32:32,"2018-02-23","gmodels","72664"
2018-02-23 12:32:32,"2018-02-23","expm","195271"
2018-02-23 12:32:32,"2018-02-23","klaR","321338"
2018-02-23 12:32:32,"2018-02-23","spdep","2355522"
2018-02-23 12:32:32,"2018-02-23","AlgDesign","616828"
2018-02-23 12:32:32,"2018-02-23","agricolae","939287"
2018-02-23 12:32:52,"2018-02-23","colorspace","443683"
2018-02-23 12:32:52,"2018-02-23","reshape2","259673"
2018-02-23 12:32:52,"2018-02-23","lazyeval","123472"
2018-02-23 12:32:52,"2018-02-23","RColorBrewer","24322"
2018-02-23 12:32:52,"2018-02-23","dichromat","145514"
2018-02-23 12:32:52,"2018-02-23","munsell","134805"
2018-02-23 12:32:52,"2018-02-23","labeling","39467"
2018-02-23 12:32:52,"2018-02-23","viridisLite","53512"
2018-02-23 12:32:52,"2018-02-23","ggplot2","2792414"
2018-02-23 12:32:52,"2018-02-23","gtable","57162"
2018-02-23 12:32:52,"2018-02-23","plyr","818975"
2018-02-23 12:32:52,"2018-02-23","scales","340397"
2018-02-23 12:32:52,"2018-02-23","cowplot","2442339"
2018-02-23 12:33:22,"2018-02-23","dplyr","5094432"
2018-02-23 12:33:24,"2018-02-23","here","14254"
2018-02-23 12:33:42,"2018-02-23","checkmate","604407"
2018-02-23 12:33:42,"2018-02-23","htmlwidgets","841907"
2018-02-23 12:33:42,"2018-02-23","minqa","260826"
2018-02-23 12:33:42,"2018-02-23","nloptr","991829"
2018-02-23 12:33:42,"2018-02-23","RcppEigen","4611610"
2018-02-23 12:33:42,"2018-02-23","Formula","160865"
2018-02-23 12:33:42,"2018-02-23","latticeExtra","2072202"
2018-02-23 12:33:42,"2018-02-23","acepack","74840"
2018-02-23 12:33:42,"2018-02-23","gridExtra","1077959"
2018-02-23 12:33:42,"2018-02-23","data.table","1430738"
2018-02-23 12:33:42,"2018-02-23","htmlTable","238905"
2018-02-23 12:33:42,"2018-02-23","viridis","1712998"
2018-02-23 12:33:42,"2018-02-23","lme4","6668431"
2018-02-23 12:33:42,"2018-02-23","Hmisc","1798684"
2018-02-23 12:33:42,"2018-02-23","lmerTest","1156802"
2018-02-23 12:33:46,"2018-02-23","cli","291675"
2018-02-23 12:33:46,"2018-02-23","utf8","172198"
2018-02-23 12:33:46,"2018-02-23","pillar","93182"
2018-02-23 12:33:48,"2018-02-23","plotrix","697151"
2018-02-23 12:33:53,"2018-02-23","readr","31327"
2018-02-23 12:33:53,"2018-02-23","readr","1967561"
2018-02-23 12:34:02,"2018-02-23","rematch","10990"
2018-02-23 12:34:02,"2018-02-23","cellranger","72965"
2018-02-23 12:34:02,"2018-02-23","readxl","1405217"
2018-02-23 12:34:05,"2018-02-23","sessioninfo","16787"
2018-02-23 12:34:05,"2018-02-23","sessioninfo","20935"
2018-02-23 12:35:22,"2018-02-23","praise","14617"
2018-02-23 12:35:22,"2018-02-23","mnormt","90476"
2018-02-23 12:35:22,"2018-02-23","debugme","1006601"
2018-02-23 12:35:22,"2018-02-23","testthat","1640399"
2018-02-23 12:35:22,"2018-02-23","psych","744832"
2018-02-23 12:35:22,"2018-02-23","DBI","292196"
2018-02-23 12:35:22,"2018-02-23","tidyselect","346901"
2018-02-23 12:35:22,"2018-02-23","callr","176065"
2018-02-23 12:35:22,"2018-02-23","selectr","1622757"
2018-02-23 12:35:22,"2018-02-23","broom","317261"
2018-02-23 12:35:22,"2018-02-23","dbplyr","190427"
2018-02-23 12:35:22,"2018-02-23","forcats","839173"
2018-02-23 12:35:22,"2018-02-23","haven","133552"
2018-02-23 12:35:22,"2018-02-23","modelr","852813"
2018-02-23 12:35:22,"2018-02-23","reprex","583255"
2018-02-23 12:35:22,"2018-02-23","rvest","821238"
2018-02-23 12:35:22,"2018-02-23","tidyr","77756"
2018-02-23 12:35:22,"2018-02-23","xml2","3311758"
2018-02-23 12:35:22,"2018-02-23","tidyverse","22879"
