Number,Section,Isolate number,Isolate,Collection,Area
1,1,1,1016,first,11.118
2,1,1,1016,first,13.476
3,1,1,1016,first,12.008
4,1,1,1016,first,9.93
5,1,1,1016,first,14.91
6,1,1,1016,first,18.634
7,1,1,1016,first,15.327
8,1,1,1016,first,15.858
9,1,1,1016,first,16.58
10,1,1,1016,first,13.754
11,1,2,1015,first,7.304
12,1,2,1015,first,11.798
13,1,2,1015,first,4.076
14,1,2,1015,first,12.338
15,1,2,1015,first,14.307
16,1,2,1015,first,16.05
17,1,2,1015,first,18.095
18,1,2,1015,first,14.72
19,1,2,1015,first,10.842
20,1,2,1015,first,6.293
21,1,3,143,first,16.228
22,1,3,143,first,13.109
23,1,3,143,first,13.141
24,1,3,143,first,13.993
25,1,3,143,first,12.518
26,1,3,143,first,17.035
27,1,3,143,first,14.84
28,1,3,143,first,22.72
29,1,3,143,first,20.788
30,1,3,143,first,16.709
31,1,4,202,first,10.729
32,1,4,202,first,10.341
33,1,4,202,first,12.013
34,1,4,202,first,9.788
35,1,4,202,first,12.676
36,1,4,202,first,6.719
37,1,4,202,first,13.075
38,1,4,202,first,14.612
39,1,4,202,first,18.624
40,1,4,202,first,11.416
41,1,5,1013,first,7.384
42,1,5,1013,first,10.122
43,1,5,1013,first,15.537
44,1,5,1013,first,14.938
45,1,5,1013,first,10.817
46,1,5,1013,first,19.174
47,1,5,1013,first,11.895
48,1,5,1013,first,8.689
49,1,5,1013,first,11.304
50,1,5,1013,first,13.279
51,1,6,1010,first,7.392
52,1,6,1010,first,10.289
53,1,6,1010,first,8.248
54,1,6,1010,first,11.464
55,1,6,1010,first,9.588
56,1,6,1010,first,10.664
57,1,6,1010,first,14.757
58,1,6,1010,first,11.526
59,1,6,1010,first,13.955
60,1,6,1010,first,9.679
61,1,7,541B,first,10.114
62,1,7,541B,first,12.321
63,1,7,541B,first,11.259
64,1,7,541B,first,14.657
65,1,7,541B,first,7.065
66,1,7,541B,first,16.087
67,1,7,541B,first,17.096
68,1,7,541B,first,11.394
69,1,7,541B,first,14.998
70,1,7,541B,first,14.383
71,1,8,4B,first,8.97
72,1,8,4B,first,8.877
73,1,8,4B,first,9.808
74,1,8,4B,first,8.26
75,1,8,4B,first,10.469
76,1,8,4B,first,8.054
77,1,8,4B,first,12.485
78,1,8,4B,first,8.19
79,1,8,4B,first,11.106
80,1,8,4B,first,7.658
81,1,9,4C,first,12.975
82,1,9,4C,first,16.053
83,1,9,4C,first,12.266
84,1,9,4C,first,13.801
85,1,9,4C,first,11.637
86,1,9,4C,first,15.844
87,1,9,4C,first,19.554
88,1,9,4C,first,21.669
89,1,9,4C,first,14.52
90,1,9,4C,first,17.141
91,1,10,1021,first,13.065
92,1,10,1021,first,15.811
93,1,10,1021,first,14.933
94,1,10,1021,first,16.962
95,1,10,1021,first,11.385
96,1,10,1021,first,16.894
97,1,10,1021,first,12.987
98,1,10,1021,first,14.856
99,1,10,1021,first,12.968
100,1,10,1021,first,17.625
101,1,11,6B,first,12.446
102,1,11,6B,first,10.227
103,1,11,6B,first,12.108
104,1,11,6B,first,15.135
105,1,11,6B,first,11.939
106,1,11,6B,first,18.438
107,1,11,6B,first,10.169
108,1,11,6B,first,12.919
109,1,11,6B,first,15.088
110,1,11,6B,first,16.11
111,1,12,7B,first,18.174
112,1,12,7B,first,10.374
113,1,12,7B,first,11.388
114,1,12,7B,first,10.268
115,1,12,7B,first,11.466
116,1,12,7B,first,14.306
117,1,12,7B,first,13.685
118,1,12,7B,first,13.733
119,1,12,7B,first,10.079
120,1,12,7B,first,13.997
121,1,13,5E,first,10.21
122,1,13,5E,first,13.052
123,1,13,5E,first,10.781
124,1,13,5E,first,10.923
125,1,13,5E,first,9.201
126,1,13,5E,first,15.57
127,1,13,5E,first,16.563
128,1,13,5E,first,9.61
129,1,13,5E,first,12.167
130,1,13,5E,first,7.011
131,1,14,3D,first,9.991
132,1,14,3D,first,12.713
133,1,14,3D,first,16.774
134,1,14,3D,first,13.13
135,1,14,3D,first,13.749
136,1,14,3D,first,16.071
137,1,14,3D,first,15.468
138,1,14,3D,first,13.017
139,1,14,3D,first,18.725
140,1,14,3D,first,10.711
141,1,15,4A,first,10.657
142,1,15,4A,first,10.365
143,1,15,4A,first,8.783
144,1,15,4A,first,8.455
145,1,15,4A,first,8.662
146,1,15,4A,first,10.252
147,1,15,4A,first,8.257
148,1,15,4A,first,9.22
149,1,15,4A,first,13.39
150,1,15,4A,first,11.885
151,1,1,1016,second,9.475
152,1,1,1016,second,9.707
153,1,1,1016,second,15.929
154,1,1,1016,second,7.954
155,1,1,1016,second,19.856
156,1,1,1016,second,21.298
157,1,1,1016,second,21.004
158,1,1,1016,second,13.907
159,1,1,1016,second,21.947
160,1,1,1016,second,17.156
161,1,2,1015,second,7.885
162,1,2,1015,second,7.087
163,1,2,1015,second,6.532
164,1,2,1015,second,4.411
165,1,2,1015,second,7.2
166,1,2,1015,second,17.829
167,1,2,1015,second,11.11
168,1,2,1015,second,13.644
169,1,2,1015,second,10.699
170,1,2,1015,second,14.478
171,1,3,143,second,15.316
172,1,3,143,second,7.355
173,1,3,143,second,17.305
174,1,3,143,second,15.643
175,1,3,143,second,14.088
176,1,3,143,second,10.421
177,1,3,143,second,19.953
178,1,3,143,second,19.106
179,1,3,143,second,19.415
180,1,3,143,second,19.637
181,1,4,202,second,10.312
182,1,4,202,second,15.531
183,1,4,202,second,9.942
184,1,4,202,second,11.635
185,1,4,202,second,12.77
186,1,4,202,second,12.579
187,1,4,202,second,13.769
188,1,4,202,second,11.811
189,1,4,202,second,11.561
190,1,4,202,second,20.318
191,1,5,1013,second,7.131
192,1,5,1013,second,8.591
193,1,5,1013,second,10.087
194,1,5,1013,second,10.954
195,1,5,1013,second,11.236
196,1,5,1013,second,12.471
197,1,5,1013,second,11.741
198,1,5,1013,second,15.011
199,1,5,1013,second,18.827
200,1,5,1013,second,12.457
201,1,6,1010,second,6.309
202,1,6,1010,second,6.509
203,1,6,1010,second,9.516
204,1,6,1010,second,13.285
205,1,6,1010,second,8.852
206,1,6,1010,second,7.865
207,1,6,1010,second,7.111
208,1,6,1010,second,5.521
209,1,6,1010,second,5.913
210,1,6,1010,second,9.748
211,1,7,541B,second,8.665
212,1,7,541B,second,15.147
213,1,7,541B,second,17.008
214,1,7,541B,second,13.124
215,1,7,541B,second,16.059
216,1,7,541B,second,12.391
217,1,7,541B,second,13.058
218,1,7,541B,second,14.855
219,1,7,541B,second,14.698
220,1,7,541B,second,16.797
221,1,8,4B,second,9.344
222,1,8,4B,second,9.816
223,1,8,4B,second,13.341
224,1,8,4B,second,11.438
225,1,8,4B,second,10.707
226,1,8,4B,second,10.912
227,1,8,4B,second,13.026
228,1,8,4B,second,12.787
229,1,8,4B,second,14.67
230,1,8,4B,second,12.929
231,1,9,4C,second,14.212
232,1,9,4C,second,12.273
233,1,9,4C,second,16.391
234,1,9,4C,second,23.334
235,1,9,4C,second,14.495
236,1,9,4C,second,14.112
237,1,9,4C,second,18.229
238,1,9,4C,second,12.984
239,1,9,4C,second,12.92
240,1,9,4C,second,19.597
241,1,10,1021,second,13.723
242,1,10,1021,second,7.832
243,1,10,1021,second,17.773
244,1,10,1021,second,10.402
245,1,10,1021,second,9.821
246,1,10,1021,second,17.22
247,1,10,1021,second,10.339
248,1,10,1021,second,10.254
249,1,10,1021,second,15.599
250,1,10,1021,second,18.149
251,1,11,6B,second,11.213
252,1,11,6B,second,10.397
253,1,11,6B,second,9.739
254,1,11,6B,second,14.687
255,1,11,6B,second,12.312
256,1,11,6B,second,14.024
257,1,11,6B,second,19.011
258,1,11,6B,second,13.276
259,1,11,6B,second,11.571
260,1,11,6B,second,14.19
261,1,12,7B,second,10.801
262,1,12,7B,second,10.3
