Isolate_number,Isolate,Block,3 dai,6 dai,8 dai (cm),AUDPC,After first node,Score
1,143,1,6.5,9.5,10.5,53.75,5.5,8
2,541B,1,5,5.25,5.25,33.375,0.25,5
3,268,1,3,5.5,6,28.75,0,4
4,202,1,1.5,4,5,19.5,0,4
5,974A,1,4,5.5,5.5,31.25,0.5,5
6,834B,1,2,5,6,24.5,0.5,5
7,975D,1,2,4,5.5,21.5,0,3
8,267,1,3,3,3,19.5,0,4
9,978B,1,2,2.5,2.5,14.75,0,4
10,977B,1,4.5,7.5,3.5,35.75,3.5,6
11,293E,1,2.5,2.5,2.5,16.25,0,4
12,973C,1,3,5.5,6,28.75,3.5,6
13,1020,1,1,3,3.5,14,0,3
14,289,1,3.5,5,5,28,2.5,5
15,834A,1,2.5,5,5.5,25.5,3,6
16,293A,1,3.5,5,6,29,3,6
17,266,1,4.5,4.75,5,30.375,0.5,5
18,975E,1,4,5.5,6,31.75,3.5,6
19,975C,1,3,4.5,5.5,25.75,2.5,5
20,1013,1,3,4,5.5,24.5,3,6
21,265,1,3,5,5.5,27,3,6
22,1021,1,3.5,4.5,6,27.75,3.5,6
23,976C,1,5.5,7,8,42,4.5,6
24,399B,1,4.5,6,6.5,35,3,6
25,1015,1,6,8.5,9.5,48.75,5,6
26,1016,1,5,5,5,32.5,0,4
27,1010,1,4,6,7,34,4,6
28,976B,1,6.5,8,8.5,48,2.5,5
29,973D,1,5,6.5,7,38.25,2.5,5
30,973B,1,3,4.5,4.5,24.75,1.5,5
31,974B,1,3,3.5,3.5,21.25,0,4
32,974D,1,4.5,6,6.5,35,2.5,5
1,143,2,4.5,5.5,5.5,32.75,0,4
2,541B,2,4.5,5,5,31,0,4
3,268,2,4.5,5,5,31,0.5,5
4,202,2,1,3,3.5,14,0,3
5,974A,2,5,6.5,7,38.25,2,5
6,834B,2,5,6,7,37,2,5
7,975D,2,4.25,4.75,5,29.625,0.5,5
8,267,2,4,6.5,6.5,34.75,3,6
9,978B,2,2.5,2.75,3,17.375,0.5,5
10,977B,2,5,6,6,36,1,5
11,293E,2,1,2.5,2.5,11.75,0,4
12,973C,2,3.5,7,7.5,35.5,5,6
13,1020,2,1,3,4,14.5,0,3
14,289,2,5,7.5,9.5,43.25,7,6
15,834A,2,3.5,5.5,7,31.25,4.5,6
16,293A,2,3,4,5,24,2.5,5
17,266,2,4.5,5.5,7,34.25,4,6
18,975E,2,3.5,7,8,36,5.5,6
19,975C,2,4,5.5,7,32.75,4,6
20,1013,2,2.5,3,3.5,18.5,1,5
21,265,2,2.5,2.75,3,17.375,0.5,5
22,1021,2,3.5,6,6.5,32,3,6
23,976C,2,4.5,7,9.5,40.5,3,6
24,399B,2,2.5,3,3,18,0,4
25,1015,2,4,6,6,33,2,5
26,1016,2,3.5,5,5,28,0.5,5
27,1010,2,3.5,6.5,7.5,34.25,4.5,6
28,976B,2,5,7,7,39.5,1,5
29,973D,2,5,7,8,40.5,3.5,6
30,973B,2,3.5,3.5,4,23.25,1,5
