Isolate number,Isolate,Rep,Score
1,972B,1,7
2,972D,1,4
3,973A,1,8
4,973B,1,9
5,973C,1,9
6,973D,1,7
7,973E,1,8
8,974B,1,7
9,974C,1,8
10,974D,1,7
11,974E,1,6
12,975A,1,9
13,975B,1,9
14,975C,1,9
15,975D,1,9
16,975E,1,9
17,976A,1,9
18,976B,1,9
19,976C,1,7
20,976D,1,8
21,976E,1,9
22,977A,1,1
23,977B,1,9
24,977C,1,7
25,977E,1,7
26,978A,1,9
27,978C,1,9
28,978E,1,7
1,972B,2,9
2,972D,2,4
3,973A,2,7
4,973B,2,9
5,973C,2,9
6,973D,2,7
7,973E,2,9
8,974B,2,7
9,974C,2,9
10,974D,2,6
11,974E,2,6
12,975A,2,8
13,975B,2,9
14,975C,2,9
15,975D,2,9
16,975E,2,8
17,976A,2,7
18,976B,2,7
19,976C,2,8
20,976D,2,9
21,976E,2,9
22,977A,2,8
23,977B,2,8
24,977C,2,9
25,977E,2,7
26,978A,2,9
27,978C,2,7
28,978E,2,7
1,972B,3,7
2,972D,3,4
3,973A,3,7
4,973B,3,7
5,973C,3,9
6,973D,3,7
7,973E,3,7
8,974B,3,7
9,974C,3,8
10,974D,3,8
11,974E,3,8
12,975A,3,9
13,975B,3,8
14,975C,3,9
15,975D,3,9
16,975E,3,9
17,976A,3,9
18,976B,3,7
19,976C,3,6
20,976D,3,9
21,976E,3,9
22,977A,3,9
23,977B,3,9
24,977C,3,7
25,977E,3,8
26,978A,3,8
27,978C,3,2
28,978E,3,8
1,972B,4,9
2,972D,4,2
3,973A,4,9
4,973B,4,9
5,973C,4,9
6,973D,4,6
7,973E,4,8
8,974B,4,6
9,974C,4,9
10,974D,4,7
11,974E,4,6
12,975A,4,7
13,975B,4,9
14,975C,4,9
15,975D,4,9
16,975E,4,9
17,976A,4,7
18,976B,4,9
19,976C,4,9
20,976D,4,8
21,976E,4,9
22,977A,4,8
23,977B,4,8
24,977C,4,9
25,977E,4,6
26,978A,4,6
27,978C,4,8
28,978E,4,9
1,972B,5,9
2,972D,5,4
3,973A,5,9
4,973B,5,9
5,973C,5,9
6,973D,5,9
7,973E,5,7
8,974B,5,7
9,974C,5,8
10,974D,5,6
11,974E,5,6
12,975A,5,8
13,975B,5,6
14,975C,5,9
15,975D,5,8
16,975E,5,9
17,976A,5,7
18,976B,5,9
19,976C,5,7
20,976D,5,6
21,976E,5,9
22,977A,5,8
23,977B,5,9
24,977C,5,9
25,977E,5,7
26,978A,5,6
27,978C,5,9
28,978E,5,7
1,972B,6,9
2,972D,6,3
3,973A,6,9
4,973B,6,7
5,973C,6,8
6,973D,6,9
7,973E,6,7
8,974B,6,7
9,974C,6,8
10,974D,6,9
11,974E,6,7
12,975A,6,9
13,975B,6,8
14,975C,6,9
15,975D,6,9
16,975E,6,9
17,976A,6,8
18,976B,6,9
19,976C,6,9
20,976D,6,7
21,976E,6,9
22,977A,6,7
23,977B,6,9
24,977C,6,9
25,977E,6,8
26,978A,6,6
27,978C,6,8
28,978E,6,9
1,972B,7,7
2,972D,7,4
3,973A,7,8
4,973B,7,8
5,973C,7,9
6,973D,7,9
7,973E,7,9
8,974B,7,5
9,974C,7,7
10,974D,7,8
11,974E,7,7
12,975A,7,9
13,975B,7,9
14,975C,7,7
15,975D,7,7
16,975E,7,9
17,976A,7,9
18,976B,7,9
19,976C,7,9
20,976D,7,6
21,976E,7,9
22,977A,7,9
23,977B,7,9
24,977C,7,9
25,977E,7,8
26,978A,7,9
27,978C,7,9
28,978E,7,7
1,972B,8,9
2,972D,8,4
3,973A,8,9
4,973B,8,8
5,973C,8,9
6,973D,8,9
7,973E,8,9
8,974B,8,7
9,974C,8,9
10,974D,8,7
11,974E,8,7
12,975A,8,7
13,975B,8,9
14,975C,8,9
15,975D,8,9
16,975E,8,7
17,976A,8,7
18,976B,8,9
19,976C,8,9
20,976D,8,8
21,976E,8,9
22,977A,8,6
23,977B,8,7
24,977C,8,9
25,977E,8,8
26,978A,8,8
27,978C,8,9
28,978E,8,7
1,972B,9,8
2,972D,9,2
3,973A,9,9
4,973B,9,7
5,973C,9,8
6,973D,9,9
7,973E,9,7
8,974B,9,7
9,974C,9,8
10,974D,9,9
11,974E,9,5
12,975A,9,7
13,975B,9,7
14,975C,9,8
15,975D,9,9
16,975E,9,8
17,976A,9,8
18,976B,9,8
19,976C,9,7
20,976D,9,9
21,976E,9,8
22,977A,9,9
23,977B,9,8
24,977C,9,9
25,977E,9,8
26,978A,9,9
27,978C,9,8
28,978E,9,9
1,972B,10,9
2,972D,10,4
3,973A,10,9
4,973B,10,7
5,973C,10,9
6,973D,10,9
7,973E,10,6
8,974B,10,6
9,974C,10,8
10,974D,10,9
11,974E,10,6
12,975A,10,9
13,975B,10,9
14,975C,10,9
15,975D,10,9
16,975E,10,9
17,976A,10,7
18,976B,10,9
19,976C,10,6
20,976D,10,6
21,976E,10,8
22,977A,10,9
23,977B,10,9
24,977C,10,7
25,977E,10,8
26,978A,10,9
27,978C,10,9
28,978E,10,6
1,972B,11,9
2,972D,11,2
3,973A,11,9
4,973B,11,7
5,973C,11,9
6,973D,11,8
7,973E,11,8
8,974B,11,6
9,974C,11,8
10,974D,11,6
11,974E,11,6
12,975A,11,8
13,975B,11,9
14,975C,11,9
15,975D,11,9
16,975E,11,9
17,976A,11,8
18,976B,11,9
19,976C,11,8
20,976D,11,8
21,976E,11,8
22,977A,11,9
23,977B,11,9
24,977C,11,9
25,977E,11,7
26,978A,11,9
27,978C,11,8
28,978E,11,7
