Exp_rep,Variety,Name,Rep,Area
1,1,potencia,1,1.728
1,1,potencia,2,1.596
1,1,potencia,3,3.153
1,1,potencia,4,3.228
1,1,potencia,5,1.139
1,1,potencia,6,4.066
1,1,potencia,7,6.147
1,1,potencia,8,2.066
1,1,potencia,9,4.107
1,1,potencia,10,2.661
1,2,TMX força,1,2.159
1,2,TMX força,2,1.214
1,2,TMX força,3,2.67
1,2,TMX força,4,2.259
1,2,TMX força,5,2.929
1,2,TMX força,6,3.975
1,2,TMX força,7,1.547
1,2,TMX força,8,3.527
1,2,TMX força,9,5.294
1,2,TMX força,10,1.224
1,3,M8349,1,0.146
1,3,M8349,2,1.432
1,3,M8349,3,2.498
1,3,M8349,4,2.713
1,3,M8349,5,2.784
1,3,M8349,6,2.881
1,3,M8349,7,6.121
1,3,M8349,8,5.023
1,3,M8349,9,3.437
1,3,M8349,10,2.584
1,4,M8210,1,0.496
1,4,M8210,2,1.586
1,4,M8210,3,1.764
1,4,M8210,4,0.566
1,4,M8210,5,2.824
1,4,M8210,6,1.978
1,4,M8210,7,4.465
1,4,M8210,8,4.206
1,4,M8210,9,3.01
1,4,M8210,10,2.557
1,5,M5917,1,0.274
1,5,M5917,2,0
1,5,M5917,3,2.565
1,5,M5917,4,3.566
1,5,M5917,5,2.309
1,5,M5917,6,2.097
1,5,M5917,7,2.769
1,5,M5917,8,5.064
1,5,M5917,9,2.403
1,5,M5917,10,1.918
1,6,M5410,1,2
1,6,M5410,2,4.123
1,6,M5410,3,2.524
1,6,M5410,4,0.708
1,6,M5410,5,1.977
1,6,M5410,6,0.867
1,6,M5410,7,1.453
1,6,M5410,8,1.606
1,6,M5410,9,4.084
1,6,M5410,10,0.996
1,7,M8330,1,4.654
1,7,M8330,2,2.452
1,7,M8330,3,4.372
1,7,M8330,4,2.102
1,7,M8330,5,2.429
1,7,M8330,6,2.739
1,7,M8330,7,7.238
1,7,M8330,8,3.567
1,7,M8330,9,2.759
1,7,M8330,10,2.647
1,8,AS3820,1,1.352
1,8,AS3820,2,1.613
1,8,AS3820,3,2.314
1,8,AS3820,4,1.759
1,8,AS3820,5,1.197
1,8,AS3820,6,3.213
1,8,AS3820,7,3.362
1,8,AS3820,8,2.336
1,8,AS3820,9,0.72
1,8,AS3820,10,3.003
1,9,M6410,1,1.28
1,9,M6410,2,1.131
1,9,M6410,3,1.423
1,9,M6410,4,1.877
1,9,M6410,5,3.868
1,9,M6410,6,2.946
1,9,M6410,7,3.141
1,9,M6410,8,3.011
1,9,M6410,9,0.607
1,9,M6410,10,1.452
1,10,M7110,1,2.06
1,10,M7110,2,4.052
1,10,M7110,3,2.588
1,10,M7110,4,3.253
1,10,M7110,5,2.363
1,10,M7110,6,4.412
1,10,M7110,7,3.153
1,10,M7110,8,4.69
1,10,M7110,9,0.27
1,10,M7110,10,2.894
1,11,CD2728,1,1.301
1,11,CD2728,2,3.433
1,11,CD2728,3,1.457
1,11,CD2728,4,0.953
1,11,CD2728,5,3.497
1,11,CD2728,6,0.518
1,11,CD2728,7,5.174
1,11,CD2728,8,3.109
1,11,CD2728,9,1.787
1,11,CD2728,10,0
2,1,potencia,1,0
2,1,potencia,2,1.514
2,1,potencia,3,0
2,1,potencia,4,0
2,1,potencia,5,0
2,1,potencia,6,0
2,1,potencia,7,1.873
2,1,potencia,8,0
2,1,potencia,9,1.652
2,1,potencia,10,0
2,2,TMX força,1,1.025
2,2,TMX força,2,0.534
2,2,TMX força,3,0
2,2,TMX força,4,0.812
2,2,TMX força,5,0.747
2,2,TMX força,6,0
2,2,TMX força,7,0
2,2,TMX força,8,1.44
2,2,TMX força,9,0.672
2,2,TMX força,10,1.505
2,3,M8349,1,0
2,3,M8349,2,0
2,3,M8349,3,1.908
2,3,M8349,4,1.425
2,3,M8349,5,0
2,3,M8349,6,0
2,3,M8349,7,1.721
2,3,M8349,8,1.827
2,3,M8349,9,2.278
2,3,M8349,10,0.795
2,4,M8210,1,0
2,4,M8210,2,4.86
2,4,M8210,3,0
2,4,M8210,4,4.054
2,4,M8210,5,4.044
2,4,M8210,6,0
2,4,M8210,7,0
2,4,M8210,8,0
2,4,M8210,9,2.506
2,4,M8210,10,1.821
2,5,M5917,1,0
2,5,M5917,2,1.055
2,5,M5917,3,0
2,5,M5917,4,2.148
2,5,M5917,5,0.217
2,5,M5917,6,1.651
2,5,M5917,7,0
2,5,M5917,8,0.21
2,5,M5917,9,0.938
2,5,M5917,10,1.62
2,6,M5410,1,0
2,6,M5410,2,0.575
2,6,M5410,3,0
2,6,M5410,4,0.286
2,6,M5410,5,1.279
2,6,M5410,6,1.324
2,6,M5410,7,0.703
2,6,M5410,8,0
2,6,M5410,9,1.032
2,6,M5410,10,0.275
2,7,M8330,1,0
2,7,M8330,2,2.461
2,7,M8330,3,3.564
2,7,M8330,4,0
2,7,M8330,5,0.254
2,7,M8330,6,0.255
2,7,M8330,7,3.894
2,7,M8330,8,2.976
2,7,M8330,9,2.346
2,7,M8330,10,3.453
2,8,AS3820,1,1.017
2,8,AS3820,2,5.58
2,8,AS3820,3,1.099
2,8,AS3820,4,0
2,8,AS3820,5,0
2,8,AS3820,6,0
2,8,AS3820,7,0.788
2,8,AS3820,8,1.821
2,8,AS3820,9,0
2,8,AS3820,10,2.09
2,9,M6410,1,0
2,9,M6410,2,0
2,9,M6410,3,0
2,9,M6410,4,0
2,9,M6410,5,0.524
2,9,M6410,6,0
2,9,M6410,7,0.204
2,9,M6410,8,0.45
2,9,M6410,9,0
2,9,M6410,10,0.993
2,10,M7110,1,0
2,10,M7110,2,1.148
2,10,M7110,3,0.483
2,10,M7110,4,0
2,10,M7110,5,0
2,10,M7110,6,1.733
2,10,M7110,7,2.56
2,10,M7110,8,1.629
2,10,M7110,9,1.834
2,10,M7110,10,0.55
2,11,CD2728,1,0
2,11,CD2728,2,2.237
2,11,CD2728,3,1.817
2,11,CD2728,4,0
2,11,CD2728,5,0.844
2,11,CD2728,6,2.082
2,11,CD2728,7,1.609
2,11,CD2728,8,2.496
2,11,CD2728,9,1.086
2,11,CD2728,10,0
