Block,Isolate,Cultivar_number,Cultivar_name,24,30,36,42,48,54,60,66,AUMPC (48),AUMPC (66 h),X__1,X__2,X__3,X__4
1,2B,1,Pérola,1.625,3.77,6.505,9.696,15.834,NA,NA,NA,191.70300000000003,NA,NA,NA,Isolate 2B,24-30-36-42-48
7,2B,1,Pérola,0.737,1.718,3.213,5.588,7.945,NA,NA,NA,98.004,NA,NA,NA,Isolate 2D,24-30-36-42-48-54-60-66
16,2B,1,Pérola,1.235,3.165,5.96,9.913,14.517,NA,NA,NA,176.30399999999997,NA,NA,NA,NA,NA
19,2B,1,Pérola,1.181,3.039,4.952,7.655,13.583,NA,NA,NA,152.34,NA,NA,NA,NA,NA
24,2B,1,Pérola,0.886,2.137,4.125,7.659,10.702,NA,NA,NA,128.922,NA,NA,NA,NA,NA
33,2B,1,Pérola,1.793,4.1,6.286,9.583,15.083,NA,NA,NA,191.958,NA,NA,NA,NA,NA
37,2D,1,Pérola,0.206,0.488,0.739,1.36,1.823,2.134,2.886,4.111,24.081000000000003,72.00299999999999,NA,NA,NA,NA
41,2D,1,Pérola,0.082,0.426,0.98,1.292,2.042,2.818,3.129,4.614,23.543999999999997,79.194,NA,NA,NA,NA
52,2D,1,Pérola,0.522,1.098,1.538,2.198,2.895,3.572,5.221,5.946,45.519,124.8,NA,NA,NA,NA
54,2D,1,Pérola,0.459,0.856,1.618,2.099,2.35,2.946,3.831,4.966,41.373000000000005,103.98299999999998,NA,NA,NA,NA
60,2D,1,Pérola,0.34,0.654,1.133,1.561,2.658,4.813,8.55,9.191,33.162,148.887,NA,NA,NA,NA
64,2D,1,Pérola,0.553,0.858,0.952,0.924,1.324,1.659,1.723,2.514,28.671,60.477,NA,NA,NA,NA
1,2B,2,BRS Pontal,1.363,2.261,5.405,9.059,14.592,NA,NA,NA,164.57099999999997,NA,NA,NA,NA,NA
7,2B,2,BRS Pontal,2.25,4.849,9.182,14.802,26.313,NA,NA,NA,285.687,NA,NA,NA,NA,NA
13,2B,2,BRS Pontal,1.874,4.031,7.825,10.825,17.52,NA,NA,NA,216.756,NA,NA,NA,NA,NA
23,2B,2,BRS Pontal,1.321,3.96,6.859,9.016,13.113,NA,NA,NA,178.164,NA,NA,NA,NA,NA
27,2B,2,BRS Pontal,0.831,3.177,5.844,9.388,15.834,NA,NA,NA,170.42100000000002,NA,NA,NA,NA,NA
32,2B,2,BRS Pontal,1.345,3.062,4.853,7.718,12.06,NA,NA,NA,150.15300000000002,NA,NA,NA,NA,NA
36,2D,2,BRS Pontal,0.387,0.893,1.227,1.493,1.516,2.25,2.461,3.441,32.031,75.168,NA,NA,NA,NA
44,2D,2,BRS Pontal,0.458,1.093,1.791,2.803,3.961,5.545,8.122,11.251,52.875,180.51299999999998,NA,NA,NA,NA
48,2D,2,BRS Pontal,0.069,0.723,1.03,1.664,2.26,2.939,4.095,6.22,28.317,95.961,NA,NA,NA,NA
56,2D,2,BRS Pontal,0.389,1.024,2.043,3.345,5.691,9.685,12.641,18.515,61.379999999999995,267.954,NA,NA,NA,NA
59,2D,2,BRS Pontal,0.322,0.523,1.356,2.152,4.036,6.779,9.998,11.196,41.124,187.482,NA,NA,NA,NA
64,2D,2,BRS Pontal,0.474,1.423,2.33,3.705,4.178,6.504,6.787,11.049,64.39200000000001,189.819,NA,NA,NA,NA
1,2B,3,BRS Cometa,0.708,1.607,2.925,4.684,9.574,NA,NA,NA,94.63799999999999,NA,NA,NA,NA,NA
12,2B,3,BRS Cometa,1.213,2.873,5.481,8.794,14.83,NA,NA,NA,165.57300000000004,NA,NA,NA,NA,NA
14,2B,3,BRS Cometa,1.906,3.973,6.42,10.719,23.379,NA,NA,NA,225.399,NA,NA,NA,NA,NA
19,2B,3,BRS Cometa,1.24,3.198,3.037,7.152,11.621,NA,NA,NA,133.785,NA,NA,NA,NA,NA
28,2B,3,BRS Cometa,1.042,2.66,4.213,7.036,13.115,NA,NA,NA,138.429,NA,NA,NA,NA,NA
31,2B,3,BRS Cometa,1.195,2.356,3.633,5.94,8.748,NA,NA,NA,115.743,NA,NA,NA,NA,NA
38,2D,3,BRS Cometa,0.001,0.061,0.488,1.085,1.463,2.714,3.356,3.33,14.208,65.007,NA,NA,NA,NA
45,2D,3,BRS Cometa,0.268,0.651,0.98,1.578,2.272,3.41,4.182,5.46,30.09,98.83799999999998,NA,NA,NA,NA
47,2D,3,BRS Cometa,0.536,1.378,1.46,1.797,2.396,3.001,3.59,3.917,43.038,101.523,NA,NA,NA,NA
56,2D,3,BRS Cometa,0.137,0.885,1.859,2.803,5.018,6.429,9.159,10.096,50.391,189.261,NA,NA,NA,NA
62,2D,3,BRS Cometa,0.111,0.779,1.252,1.781,3.539,7.706,8.249,13.663,35.154,182.48999999999998,NA,NA,NA,NA
64,2D,3,BRS Cometa,0.405,0.986,1.4,2.336,3.097,5.386,6.174,6.715,43.698,142.494,NA,NA,NA,NA
1,2B,4,BRS Requinte,0.917,2.461,4.191,8.812,14.847,NA,NA,NA,151.08,NA,NA,NA,NA,NA
11,2B,4,BRS Requinte,2,4.631,7.507,10.291,15.64,NA,NA,NA,211.494,NA,NA,NA,NA,NA
12,2B,4,BRS Requinte,1.409,3.346,7.033,10.285,16.261,NA,NA,NA,193.90200000000004,NA,NA,NA,NA,NA
22,2B,4,BRS Requinte,1.745,3.263,4.795,8.08,13.966,NA,NA,NA,164.901,NA,NA,NA,NA,NA
29,2B,4,BRS Requinte,2.64,4.704,7.588,11.582,19.927,NA,NA,NA,242.625,NA,NA,NA,NA,NA
30,2B,4,BRS Requinte,2.174,4.501,8.903,12.389,18.533,NA,NA,NA,242.96699999999998,NA,NA,NA,NA,NA
40,2D,4,BRS Requinte,0.23,0.869,1.412,2.79,3.586,6.401,8.016,10.306,44.63399999999999,172.81199999999995,NA,NA,NA,NA
45,2D,4,BRS Requinte,0.06,0.209,0.666,1.106,1.546,2.116,2.96,4.086,17.424,64.77600000000001,NA,NA,NA,NA
47,2D,4,BRS Requinte,0.419,1.016,1.474,1.821,2.714,4.021,3.724,4.893,40.293,109.58400000000002,NA,NA,NA,NA
53,2D,4,BRS Requinte,0.485,0.932,1.343,1.999,2.984,5.202,7.121,9.796,41.871,154.14899999999997,NA,NA,NA,NA
63,2D,4,BRS Requinte,0.385,0.756,1.359,2.278,3.015,6.977,8.653,12.585,41.178,181.758,NA,NA,NA,NA
65,2D,4,BRS Requinte,0.425,0.85,1.472,2.403,2.808,4.095,5.115,6.38,43.14900000000001,125.97299999999998,NA,NA,NA,NA
2,2B,5,IPR Gralha,0.944,2.324,3.792,7.007,10.192,NA,NA,NA,123.474,NA,NA,NA,NA,NA
10,2B,5,IPR Gralha,1.667,4.117,7.237,10.34,15.176,NA,NA,NA,200.697,NA,NA,NA,NA,NA
15,2B,5,IPR Gralha,1.733,3.48,6.588,9.702,19.185,NA,NA,NA,202.17000000000002,NA,NA,NA,NA,NA
23,2B,5,IPR Gralha,1.964,3.746,5.662,8.785,14.238,NA,NA,NA,181.332,NA,NA,NA,NA,NA
29,2B,5,IPR Gralha,0.322,0.732,1.625,2.427,5.209,NA,NA,NA,49.16099999999999,NA,NA,NA,NA,NA
34,2B,5,IPR Gralha,1.854,3.553,5.604,10.701,17.119,NA,NA,NA,198.315,NA,NA,NA,NA,NA
41,2D,5,IPR Gralha,0.461,0.854,1.261,2.157,3.417,4.985,5.997,8.156,42.798,143.40900000000002,NA,NA,NA,NA
42,2D,5,IPR Gralha,0.463,0.729,1.181,1.327,1.725,2.4,2.449,2.979,31.542,74.74799999999999,NA,NA,NA,NA
50,2D,5,IPR Gralha,0.001,0.399,0.794,1.308,1.711,2.908,3.238,3.915,20.154,73.908,NA,NA,NA,NA
54,2D,5,IPR Gralha,0.419,0.9,1.329,2.227,3.009,4.233,5.616,7.398,42.047999999999995,132.363,NA,NA,NA,NA
61,2D,5,IPR Gralha,0.267,0.584,0.681,1.26,2.058,3.816,4.529,6.13,25.329,99.96299999999997,NA,NA,NA,NA
65,2D,5,IPR Gralha,0.54,0.968,1.648,2.953,4.8,8.399,10.197,12.682,55.914,219.936,NA,NA,NA,NA
2,2B,6,IPR Curió,1.002,2,3.829,6.495,9.699,NA,NA,NA,118.071,NA,NA,NA,NA,NA
12,2B,6,IPR Curió,1.633,3.976,6.713,10.119,15.895,NA,NA,NA,197.02800000000002,NA,NA,NA,NA,NA
15,2B,6,IPR Curió,1.233,3.065,5.102,10.931,14.534,NA,NA,NA,176.685,NA,NA,NA,NA,NA
20,2B,6,IPR Curió,1.987,4.292,7.203,11.018,14.237,NA,NA,NA,207.594,NA,NA,NA,NA,NA
26,2B,6,IPR Curió,1.849,4.539,7.511,12.495,19.327,NA,NA,NA,232.986,NA,NA,NA,NA,NA
33,2B,6,IPR Curió,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,2D,6,IPR Curió,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,2D,6,IPR Curió,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,2D,6,IPR Curió,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,2D,6,IPR Curió,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
