Block,Cultivar_number,Cultivar_name,24,30,36,42,48,AUMPC
1,1,Pérola,0.883,2.381,2.926,5.112,9.329,103.746
6,1,Pérola,0.636,1.2,1.711,2.989,5.261,60.723
13,1,Pérola,1.524,4.149,6.095,10.083,13.495,185.307
16,1,Pérola,0.59,1.861,3.325,4.946,8.592,95.418
20,1,Pérola,0.887,2.379,2.64,4.446,7.338,92.109
27,1,Pérola,1.504,3.904,6.625,9.151,14.505,184.155
30,1,Pérola,1.175,3.636,6.751,9.204,14.317,178.122
33,1,Pérola,1.99,4.346,6.614,9.481,17.178,204.03
42,1,Pérola,0.672,1.657,3.056,4.909,9.698,96.906
43,1,Pérola,0.907,2.416,4.073,5.575,8.914,112.731
48,1,Pérola,0.88,2.4,3.525,5.594,10.204,112.926
51,1,Pérola,0.921,2.162,4.04,6.574,10.119,120.828
1,2,BRS Pontal,0.108,1.039,2.535,4.611,7.909,74.457
5,2,BRS Pontal,0.682,1.936,3.378,5.533,11.017,108.363
10,2,BRS Pontal,3.472,7.775,10.325,16.74,21.983,327.069
19,2,BRS Pontal,0.997,3.08,5.123,8.43,13.296,154.641
22,2,BRS Pontal,0.793,2.31,3.415,6.095,9.758,112.089
25,2,BRS Pontal,1.545,4.307,5.058,10.345,16.463,190.824
29,2,BRS Pontal,1.654,4.237,6.344,10.594,15.285,197.715
35,2,BRS Pontal,1.088,3.257,5.557,9.527,13.567,167.067
39,2,BRS Pontal,1.384,2.988,4.713,7.694,10.52,144.69
45,2,BRS Pontal,1.832,4.291,6.806,10.571,14.432,200.784
47,2,BRS Pontal,0.958,2.606,3.515,6.569,8.907,117.231
51,2,BRS Pontal,2.554,5.594,8.321,12.488,19.795,256.113
1,3,BRS Cometa,0.774,1.552,2.838,7.348,9.427,110.319
9,3,BRS Cometa,1.08,2.273,3.646,7.124,11.173,127.977
11,3,BRS Cometa,2.364,4.893,6.863,10.579,15.168,214.974
15,3,BRS Cometa,1.209,3.088,4.992,8.907,12.74,158.277
23,3,BRS Cometa,1.737,3.999,5.766,7.575,12.481,167.538
25,3,BRS Cometa,0.539,1.28,2.121,4.614,6.795,76.56
30,3,BRS Cometa,1.172,3.014,4.348,7.551,10.061,137.241
36,3,BRS Cometa,0.484,1.593,2.432,4.757,7.644,82.884
38,3,BRS Cometa,0.806,1.982,3.489,5.582,11.009,111.435
45,3,BRS Cometa,0.997,2.207,3.448,6.035,8.855,111.66
50,3,BRS Cometa,0.527,1.764,2.445,4.258,6.716,78.855
52,3,BRS Cometa,2.573,5.823,8.986,12.235,19.766,260.157
1,4,BRS Requinte,1.513,3.522,5.446,8.407,13.404,167.157
9,4,BRS Requinte,2.176,4.369,7.104,9.859,18.096,214.92
10,4,BRS Requinte,3.015,6.054,10.515,16.72,26.096,323.247
17,4,BRS Requinte,1.711,4.751,8.413,13.76,18.696,243.297
23,4,BRS Requinte,1.109,3.571,6.895,10.791,18.327,199.158
24,4,BRS Requinte,1.349,3.75,4.862,9.303,14.97,172.635
32,4,BRS Requinte,2.156,5.089,9.544,13.774,19.711,261.915
36,4,BRS Requinte,1.433,4.645,6.971,12.217,19.195,222.078
37,4,BRS Requinte,1.312,3.415,5.625,10.865,13.681,180.153
43,4,BRS Requinte,1.951,4.99,7.167,11.893,16.354,222.627
51,4,BRS Requinte,1.678,4.568,6.617,11.989,18.548,219.858
52,4,BRS Requinte,1.553,4.618,6.684,12.533,18.185,220.86
1,5,IPR Gralha,1.387,2.146,3.67,5.456,8.498,113.931
8,5,IPR Gralha,1.186,3.009,5.315,7.543,12.334,149.994
12,5,IPR Gralha,0.567,1.822,3.306,5.635,10.621,104.946
18,5,IPR Gralha,1.449,2.863,4.132,6.074,9.253,127.908
23,5,IPR Gralha,1.452,4.102,7.237,10.389,18.301,207.051
27,5,IPR Gralha,0.945,2.481,4.248,8.836,11.423,141.834
33,5,IPR Gralha,1.937,4.168,7.964,11.91,16.175,221.832
34,5,IPR Gralha,0.5,1.097,1.736,3.273,4.866,58.734
40,5,IPR Gralha,2.17,3.268,4.95,7.251,13.339,165.381
43,5,IPR Gralha,1.288,2.55,3.93,5.99,9.045,121.275
49,5,IPR Gralha,0.519,1.549,2.524,5.114,7.879,86.544
52,5,IPR Gralha,1.323,3.292,5.168,8.272,14.282,163.083
2,6,IPR Curió,0.48,1.509,3.337,5.405,8.069,92.913
10,6,IPR Curió,1.093,2.645,5.25,8.178,12.044,148.965
12,6,IPR Curió,1.648,3.737,6.33,11.943,16.136,205.188
16,6,IPR Curió,1.222,3.533,6.348,9.243,14.333,176.073
21,6,IPR Curió,1.226,3.295,6.314,10.926,15.577,188.331
27,6,IPR Curió,2.092,4.493,8.72,13.335,20.413,251.907
31,6,IPR Curió,1.341,2.756,3.642,6.161,9.477,123.9
33,6,IPR Curió,1.397,3.243,4.299,7.168,12.149,145.662
39,6,IPR Curió,1.312,3.602,5.306,8.953,11.972,162.762
44,6,IPR Curió,1.644,4.595,6.004,10.181,12.636,187.248
49,6,IPR Curió,0.684,2.227,3.789,5.66,9.553,108.975
52,6,IPR Curió,1.555,3.622,5.924,8.516,12.751,169.95
2,7,IPR Uirapuru,0.749,2.26,4.07,6.724,9.238,117.273
7,7,IPR Uirapuru,0.114,1.303,2.236,3.814,6.531,65.421
14,7,IPR Uirapuru,1.334,2.812,4.475,8.122,11.147,145.905
16,7,IPR Uirapuru,0.101,0.954,1.611,3.36,5.706,54.183
20,7,IPR Uirapuru,0.947,2.461,4.044,6.721,9.656,122.529
28,7,IPR Uirapuru,0.488,0.97,1.739,3.369,6.129,62.175
30,7,IPR Uirapuru,1.505,4.925,7.003,10.824,15.657,206.058
34,7,IPR Uirapuru,0.616,1.999,3.128,5.6,11.167,107.103
40,7,IPR Uirapuru,1.026,3.263,5.328,9.091,12.261,158.265
42,7,IPR Uirapuru,1.411,2.464,5.737,10.711,13.746,175.875
48,7,IPR Uirapuru,1.048,2.581,3.889,6.024,10.723,122.853
52,7,IPR Uirapuru,1.025,2.055,3.058,5.484,8.595,104.742
2,8,IPR Tuiuiu,1.517,3.179,4.858,8.658,12.551,160.578
7,8,IPR Tuiuiu,1.121,2.654,5.696,9.077,14.666,165.375
13,8,IPR Tuiuiu,2.181,4.862,7.477,11.941,14.123,220.764
17,8,IPR Tuiuiu,0.71,2.459,4.267,6.712,12.153,127.737
