Number,Cultivar,Rep,Score
1,Pérola,1,6
1,Pérola,2,5
1,Pérola,3,6
1,Pérola,4,6
1,Pérola,5,6
1,Pérola,6,4
1,Pérola,7,4
1,Pérola,8,6
1,Pérola,9,4
1,Pérola,10,5
1,Pérola,11,4
1,Pérola,12,4
1,Pérola,13,2
1,Pérola,14,4
1,Pérola,15,NA
2,BRS Pontal,1,4
2,BRS Pontal,2,4
2,BRS Pontal,3,6
2,BRS Pontal,4,4
2,BRS Pontal,5,7
2,BRS Pontal,6,4
2,BRS Pontal,7,4
2,BRS Pontal,8,4
2,BRS Pontal,9,6
2,BRS Pontal,10,7
2,BRS Pontal,11,5
2,BRS Pontal,12,7
2,BRS Pontal,13,5
2,BRS Pontal,14,4
2,BRS Pontal,15,5
4,BRS Requinte,1,4
4,BRS Requinte,2,4
4,BRS Requinte,3,6
4,BRS Requinte,4,7
4,BRS Requinte,5,7
4,BRS Requinte,6,4
4,BRS Requinte,7,7
4,BRS Requinte,8,7
4,BRS Requinte,9,7
4,BRS Requinte,10,7
4,BRS Requinte,11,7
4,BRS Requinte,12,5
4,BRS Requinte,13,6
4,BRS Requinte,14,8
4,BRS Requinte,15,5
5,IPR Gralha,1,9
5,IPR Gralha,2,4
5,IPR Gralha,3,6
5,IPR Gralha,4,4
5,IPR Gralha,5,6
5,IPR Gralha,6,6
5,IPR Gralha,7,8
5,IPR Gralha,8,8
5,IPR Gralha,9,5
5,IPR Gralha,10,7
5,IPR Gralha,11,8
5,IPR Gralha,12,NA
5,IPR Gralha,13,NA
5,IPR Gralha,14,NA
5,IPR Gralha,15,NA
6,IPR Curió,1,6
6,IPR Curió,2,6
6,IPR Curió,3,6
6,IPR Curió,4,7
6,IPR Curió,5,7
6,IPR Curió,6,4
6,IPR Curió,7,5
6,IPR Curió,8,8
6,IPR Curió,9,6
6,IPR Curió,10,7
6,IPR Curió,11,7
6,IPR Curió,12,7
6,IPR Curió,13,6
6,IPR Curió,14,7
6,IPR Curió,15,7
7,IPR Uirapuru,1,4
7,IPR Uirapuru,2,4
7,IPR Uirapuru,3,3
7,IPR Uirapuru,4,7
7,IPR Uirapuru,5,7
7,IPR Uirapuru,6,4
7,IPR Uirapuru,7,4
7,IPR Uirapuru,8,2
7,IPR Uirapuru,9,7
7,IPR Uirapuru,10,4
7,IPR Uirapuru,11,4
7,IPR Uirapuru,12,5
7,IPR Uirapuru,13,7
7,IPR Uirapuru,14,7
7,IPR Uirapuru,15,3
8,IPR Tuiuiu,1,3
8,IPR Tuiuiu,2,3
8,IPR Tuiuiu,3,7
8,IPR Tuiuiu,4,6
8,IPR Tuiuiu,5,7
8,IPR Tuiuiu,6,6
8,IPR Tuiuiu,7,7
8,IPR Tuiuiu,8,5
8,IPR Tuiuiu,9,4
8,IPR Tuiuiu,10,4
8,IPR Tuiuiu,11,5
8,IPR Tuiuiu,12,5
8,IPR Tuiuiu,13,4
8,IPR Tuiuiu,14,7
8,IPR Tuiuiu,15,7
9,IPR Andorinha,1,4
9,IPR Andorinha,2,6
9,IPR Andorinha,3,6
9,IPR Andorinha,4,6
9,IPR Andorinha,5,6
9,IPR Andorinha,6,4
9,IPR Andorinha,7,5
9,IPR Andorinha,8,7
9,IPR Andorinha,9,6
9,IPR Andorinha,10,4
9,IPR Andorinha,11,4
9,IPR Andorinha,12,4
9,IPR Andorinha,13,4
9,IPR Andorinha,14,7
9,IPR Andorinha,15,5
10,IPR Bem-te-vi,1,6
10,IPR Bem-te-vi,2,4
10,IPR Bem-te-vi,3,9
10,IPR Bem-te-vi,4,7
10,IPR Bem-te-vi,5,8
10,IPR Bem-te-vi,6,8
10,IPR Bem-te-vi,7,5
10,IPR Bem-te-vi,8,4
10,IPR Bem-te-vi,9,7
10,IPR Bem-te-vi,10,7
