Isolate number,Isolate,Rep,Score
1,2B,1,7
2,2D,1,4
3,3A,1,8
4,3B,1,9
5,3C,1,9
6,3D,1,7
7,3E,1,8
8,4B,1,7
9,4C,1,8
10,4D,1,7
11,4E,1,6
12,5A,1,9
13,5B,1,9
14,5C,1,9
15,5D,1,9
16,5E,1,9
17,6A,1,9
18,6B,1,9
19,6C,1,7
20,6D,1,8
21,6E,1,9
22,7A,1,1
23,7B,1,9
24,7C,1,7
25,7E,1,7
26,8A,1,9
27,8C,1,9
28,8E,1,7
1,2B,2,9
2,2D,2,4
3,3A,2,7
4,3B,2,9
5,3C,2,9
6,3D,2,7
7,3E,2,9
8,4B,2,7
9,4C,2,9
10,4D,2,6
11,4E,2,6
12,5A,2,8
13,5B,2,9
14,5C,2,9
15,5D,2,9
16,5E,2,8
17,6A,2,7
18,6B,2,7
19,6C,2,8
20,6D,2,9
21,6E,2,9
22,7A,2,8
23,7B,2,8
24,7C,2,9
25,7E,2,7
26,8A,2,9
27,8C,2,7
28,8E,2,7
1,2B,3,7
2,2D,3,4
3,3A,3,7
4,3B,3,7
5,3C,3,9
6,3D,3,7
7,3E,3,7
8,4B,3,7
9,4C,3,8
10,4D,3,8
11,4E,3,8
12,5A,3,9
13,5B,3,8
14,5C,3,9
15,5D,3,9
16,5E,3,9
17,6A,3,9
18,6B,3,7
19,6C,3,6
20,6D,3,9
21,6E,3,9
22,7A,3,9
23,7B,3,9
24,7C,3,7
25,7E,3,8
26,8A,3,8
27,8C,3,2
28,8E,3,8
1,2B,4,9
2,2D,4,2
3,3A,4,9
4,3B,4,9
5,3C,4,9
6,3D,4,6
7,3E,4,8
8,4B,4,6
9,4C,4,9
10,4D,4,7
11,4E,4,6
12,5A,4,7
13,5B,4,9
14,5C,4,9
15,5D,4,9
16,5E,4,9
17,6A,4,7
18,6B,4,9
19,6C,4,9
20,6D,4,8
21,6E,4,9
22,7A,4,8
23,7B,4,8
24,7C,4,9
25,7E,4,6
26,8A,4,6
27,8C,4,8
28,8E,4,9
1,2B,5,9
2,2D,5,4
3,3A,5,9
4,3B,5,9
5,3C,5,9
6,3D,5,9
7,3E,5,7
8,4B,5,7
9,4C,5,8
10,4D,5,6
11,4E,5,6
12,5A,5,8
13,5B,5,6
14,5C,5,9
15,5D,5,8
16,5E,5,9
17,6A,5,7
18,6B,5,9
19,6C,5,7
20,6D,5,6
21,6E,5,9
22,7A,5,8
23,7B,5,9
24,7C,5,9
25,7E,5,7
26,8A,5,6
27,8C,5,9
28,8E,5,7
1,2B,6,9
2,2D,6,3
3,3A,6,9
4,3B,6,7
5,3C,6,8
6,3D,6,9
7,3E,6,7
8,4B,6,7
9,4C,6,8
10,4D,6,9
11,4E,6,7
12,5A,6,9
13,5B,6,8
14,5C,6,9
15,5D,6,9
16,5E,6,9
17,6A,6,8
18,6B,6,9
19,6C,6,9
20,6D,6,7
21,6E,6,9
22,7A,6,7
23,7B,6,9
24,7C,6,9
25,7E,6,8
26,8A,6,6
27,8C,6,8
28,8E,6,9
1,2B,7,7
2,2D,7,4
3,3A,7,8
4,3B,7,8
5,3C,7,9
6,3D,7,9
7,3E,7,9
8,4B,7,5
9,4C,7,7
10,4D,7,8
11,4E,7,7
12,5A,7,9
13,5B,7,9
14,5C,7,7
15,5D,7,7
16,5E,7,9
17,6A,7,9
18,6B,7,9
19,6C,7,9
20,6D,7,6
21,6E,7,9
22,7A,7,9
23,7B,7,9
24,7C,7,9
25,7E,7,8
26,8A,7,9
27,8C,7,9
28,8E,7,7
1,2B,8,9
2,2D,8,4
3,3A,8,9
4,3B,8,8
5,3C,8,9
6,3D,8,9
7,3E,8,9
8,4B,8,7
9,4C,8,9
10,4D,8,7
11,4E,8,7
12,5A,8,7
13,5B,8,9
14,5C,8,9
15,5D,8,9
16,5E,8,7
17,6A,8,7
18,6B,8,9
19,6C,8,9
20,6D,8,8
21,6E,8,9
22,7A,8,6
23,7B,8,7
24,7C,8,9
25,7E,8,8
26,8A,8,8
27,8C,8,9
28,8E,8,7
1,2B,9,8
2,2D,9,2
3,3A,9,9
4,3B,9,7
5,3C,9,8
6,3D,9,9
7,3E,9,7
8,4B,9,7
9,4C,9,8
10,4D,9,9
11,4E,9,5
12,5A,9,7
13,5B,9,7
14,5C,9,8
15,5D,9,9
16,5E,9,8
17,6A,9,8
18,6B,9,8
19,6C,9,7
20,6D,9,9
21,6E,9,8
22,7A,9,9
23,7B,9,8
24,7C,9,9
25,7E,9,8
26,8A,9,9
27,8C,9,8
28,8E,9,9
1,2B,10,9
2,2D,10,4
3,3A,10,9
4,3B,10,7
5,3C,10,9
6,3D,10,9
7,3E,10,6
8,4B,10,6
9,4C,10,8
10,4D,10,9
11,4E,10,6
12,5A,10,9
13,5B,10,9
14,5C,10,9
15,5D,10,9
16,5E,10,9
17,6A,10,7
18,6B,10,9
19,6C,10,6
20,6D,10,6
21,6E,10,8
22,7A,10,9
23,7B,10,9
24,7C,10,7
25,7E,10,8
26,8A,10,9
27,8C,10,9
28,8E,10,6
1,2B,11,9
2,2D,11,2
3,3A,11,9
4,3B,11,7
5,3C,11,9
6,3D,11,8
7,3E,11,8
8,4B,11,6
9,4C,11,8
10,4D,11,6
11,4E,11,6
12,5A,11,8
13,5B,11,9
14,5C,11,9
15,5D,11,9
16,5E,11,9
17,6A,11,8
18,6B,11,9
19,6C,11,8
20,6D,11,8
21,6E,11,8
22,7A,11,9
23,7B,11,9
24,7C,11,9
25,7E,11,7
26,8A,11,9
27,8C,11,8
28,8E,11,7
